MINN.HUB
Day Ahead, Real Time, NN Output

Day1
44.98, 49.75, 39.9800782166
44.34, 52.0, 38.5706649074
45.87, 43.25, 31.7297427839
45.37, 42.73, 55.9729794706
45.46, 43.01, 31.5175535169
45.14, 31.94, 37.7431849065
43.86, 35.92, 39.1585211779
42.75, 36.02, 32.6149986064
39.46, 26.33, 24.1287635288
43.55, 39.86, 28.1835148661
47.85, 42.05, 30.6928773267
38.44, 37.71, 38.6422496872
32.03, 29.39, 37.3058415875
29.11, 23.46, 32.5105558799

Day3
25.44, 11.73, 22.2167078416
24.03, 14.24, 25.0952519613
23.46, 4.26, 36.3585141882
23.52, 9.54, 27.6333677657
24.73, 14.57, 20.4959667169
28.2, 28.3, 21.4159474201
34.46, 36.31, 62.9043497522
39.15, 58.9, 34.3097126352
39.57, 37.1, 25.9414702171
42.39, 36.8, 52.3954544374
42.99, 53.51, 39.9809156745
43.72, 31.71, 37.7458276392
46.6, 23.52, 33.1486522017
46.64, 30.78, 55.2740789208
45.42, 27.44, 32.4766534385
44.01, 26.95, 37.2177715242
41.93, 26.57, 38.5557135757
38.92, 26.28, 32.8775319556
34.63, 25.99, 24.8446768086
37.75, 28.79, 28.8098701191
42.49, 31.17, 32.0366469961
34.03, 26.02, 39.1117112066
29.06, 24.67, 36.9851753968
27.36, 44.94, 32.1017049646

Day4
27.59, 47.16, 1.42954238657
26.81, 59.12, 4.06932474303
23.8, 49.18, 63.9690284361
24.22, 44.45, 11.5675772138
25.34, 18.2, 27.0647650971
33.31, 5.24, 11.5982300162
41.06, 47.42, 36.9498969529
43.51, 36.6, 46.0009006462
60.97, 19.0, 22.7991829186
61.26, 32.37, 12.2605450852
62.46, 23.76, 39.9972185371
60.65, 51.24, 56.1889676202
63.37, 34.23, 1.90884434256
59.84, 16.87, 70.3225709449
59.04, 11.11, 11.6431514227
56.01, 17.21, 48.8147885807
53.29, 20.83, 51.4185707686
51.12, 27.88, 26.9292445775
37.45, 32.61, 9.37247999329
40.57, 26.74, 15.2667980777
43.86, 25.23, 2.26036530205
38.07, 23.43, 29.0838143793
31.46, 25.02, 43.9425365948
29.88, 26.34, 41.0778644527

Day5
25.64, 18.85, 27.9269948422
24.66, 17.06, 30.5848366736
23.47, 19.61, 28.6946329369
23.35, 19.54, 31.9424157601
22.94, 26.99, 18.7977595043
23.39, 19.18, 24.1100844269
25.84, 21.92, 69.9577454255
28.66, 25.22, 31.2364509671
36.61, 26.32, 26.8962211868
38.01, 23.52, 63.2838280562
36.62, 22.3, 39.9232200608
35.84, 23.54, 32.7363249069
33.44, 23.16, 41.5988662399
30.71, 23.12, 51.1570353403
29.65, 22.45, 38.0688287427
28.57, 19.14, 34.0901822559
28.84, 21.83, 35.093757878
29.76, 21.32, 34.4903054704
29.3, 22.65, 29.0020291243
34.32, 30.46, 32.4192945787
38.81, 31.1, 40.1277518876
32.3, 25.08, 41.6000489435
27.54, 23.35, 35.028162893
25.63, 22.73, 29.6357303315

Day6
24.38, 18.26, 28.1819866507
24.08, 19.88, 30.7088383142
23.84, 19.8, 28.3757332319
23.39, 18.1, 32.0935836065
22.63, 21.67, 18.7311642537
22.1, 26.27, 24.2152293925
24.55, 26.38, 70.2237483737
28.07, 30.31, 31.1170736355
30.74, 31.57, 26.9489597447
34.95, 26.54, 63.6778888438
33.47, 25.38, 39.9108283174
32.1, 26.62, 32.5190426437
29.6, 24.37, 41.9152956496
28.24, 25.26, 51.0299753466
27.25, 28.04, 38.2450243164
26.71, 25.35, 33.9719049453
28.05, 27.61, 35.0060989831
29.28, 24.15, 34.5675160527
29.8, 25.17, 29.1257689101
36.21, 24.94, 32.5238985535
45.18, 24.85, 40.4537405455
34.75, 24.71, 41.6335407837
26.83, 24.93, 34.9548798087
24.83, 11.41, 29.5408791578

Day7
20.91, 18.96, 27.3143890881
20.08, 24.4, 29.9683005906
20.61, 13.06, 28.24381532
22.16, 16.36, 31.4132331607
23.69, 12.57, 19.7988381971
27.24, 25.62, 24.1443995213
38.03, 33.72, 69.5591564298
41.28, 31.37, 32.4938997656
37.96, 32.4, 27.4430062296
40.39, 26.41, 62.8651118958
38.64, 23.82, 39.6417660641
38.83, 25.61, 33.6733834547
37.01, 24.36, 40.7991747674
36.5, 25.71, 50.4994256864
36.12, 24.91, 37.8550324554
34.42, 29.07, 34.506576692
33.73, 26.63, 34.659090294
34.57, 32.75, 34.0014477035
