MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
32.03, 37.53, 28.1886, -5.5
28.07, 29.45, 28.0982, 1.38

Day10
22.88, 21.59, 26.3051, -1.29
20.48, 21.95, 25.0551, 1.47
20.04, 21.79, 24.5736, 1.75
20.24, 21.4, 27.5599, 1.16
20.32, 23.73, 25.7851, 3.41
26.71, 24.62, 28.9735, -2.09
31.79, 25.53, 45.6175, -6.26
35.61, 28.8, 38.2073, -6.81
39.45, 38.75, 34.8363, 0.7
44.97, 35.63, 51.1041, -9.34
47.82, 41.5, 39.6396, 6.32
49.46, 44.13, 40.6049, 5.33
51.13, 41.01, 37.2843, 10.12
52.18, 38.01, 39.494, 14.17
52.66, 37.3, 36.9216, 15.36
52.47, 36.97, 37.8053, 15.5
51.86, 53.58, 32.409, -1.72
46.98, 38.21, 32.381, 8.77
39.86, 30.69, 29.9702, 9.17
39.56, 27.23, 45.6817, -12.33
45.76, 21.97, 37.0801, 23.79
37.95, 25.23, 31.9215, 12.72
28.38, 27.21, 28.1886, 1.17
22.78, 28.01, 28.0982, 5.23
ILLINOIS.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
29.21, 28.07, 26.3102, 1.14
25.6, 22.74, 25.0512, 2.86
25.02, 22.5, 24.5797, 2.52
25.07, 20.55, 27.5583, -4.52
25.63, 29.36, 25.7839, 3.73
30.38, 30.06, 28.9718, 0.32
36.59, 26.12, 45.62, -10.47
40.95, 30.48, 38.205, 10.47
41.93, 39.28, 34.8368, 2.65
43.35, 40.14, 51.1055, -3.21
44.4, 43.39, 39.6363, 1.01
44.08, 74.55, 40.6093, -30.47
43.72, 41.78, 37.2796, 1.94
45.45, 36.51, 39.4954, 8.94
45.05, 39.33, 36.9254, 5.72
44.31, 50.6, 37.8091, -6.29
41.13, 58.72, 32.4091, -17.59
38.96, 66.25, 32.3818, -27.29
37.85, 58.67, 29.9704, -20.82
44.34, 39.21, 45.6797, -5.13
46.3, 44.66, 37.0809, 1.64
36.9, 39.05, 31.9195, -2.15
29.33, 26.87, 28.188, 2.46
28.01, 41.36, 28.101, 13.35

Day2
26.17, 28.11, 26.3052, 1.94
24.27, 25.47, 25.0551, 1.2
24.3, 23.73, 24.5737, -0.57
24.03, 22.56, 27.5599, -1.47
24.64, 26.31, 25.7851, 1.67
30.06, 103.03, 28.9735, -72.97
35.54, 36.72, 45.6175, 1.18
39.65, 39.53, 38.2073, 0.12
42.34, 44.77, 34.8363, -2.43
44.56, 53.93, 51.1041, 9.37
44.98, 49.75, 39.6395, -4.77
44.34, 52, 40.605, -7.66
45.87, 43.25, 37.2842, 2.62
45.37, 42.73, 39.494, 2.64
45.46, 43.01, 36.9216, 2.45
45.14, 31.94, 37.8054, 13.2
43.86, 35.92, 32.409, 7.94
42.75, 36.02, 32.381, 6.73
